Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,220240.77,230413.76,234122.38,239560.14,243598.69,244499.37,256463.93,258303.62,262725.06,264637.84,280308.99,276902.6,269315.64,286381.63,298167.36,307492.67,321462.03,335854.13,331802.17,322554.23,300695.19,310314.53,310670.24,321011.89,322554.61,294437,297008,299579,302150,304721
Australia,423672.23,423733.06,427426.08,428337.07,428818.22,437276.55,443928.27,456015.98,469751.52,476391.99,487777.76,495604.31,499190.49,500599.96,517726.51,524211.49,528038.42,534417.84,537262.31,540381.62,535549.22,537205.5,539511.06,530311.91,524709.4,533063.83,542287.87,549330.02,549731.94,545152.52
Austria,78420.49,82082.33,75469.27,75709.19,75958.3,79237.98,82452.59,82116.23,81432.85,79898.37,80129.43,84064.72,85815.06,91306.72,90985.23,92147.29,89728.78,86983.94,86440.21,79779.07,84336.72,82127.03,79432.38,79817.17,76238.67,78462.23,79471.01,81862.5,78627.64,79842.25
Belarus,139151.99,130840.89,120140.78,106923.6,89779.89,83442.94,84297.36,85109.98,86361.89,80057.93,79717.08,79870.11,78363.79,80448.44,84704.15,86798.69,90642.09,90117.01,92953.37,88814.49,90694.8,90342.3,91370.71,92264.23,91040.7,85975.45,87745.02,88542.2,89064.61,90115.7
Belgium,145719.49,148439.22,148039.15,146897.39,151497.12,153616.79,157323.93,148852.5,154021.16,147789.33,148882.93,147324.61,147412.69,147713.45,148554.79,145561.7,142720.48,139071.66,138980.22,126325.02,133633.52,123134.28,120385.71,120443.49,114732,118959.98,117689.18,117424.3,117894.74,116651.49
Brazil,552640.82,574601.49,583848.35,596099.4,613905.5,638769.9,643708.82,668029.6,685872.35,702927.57,725162.14,744084.15,760963.1,778785.71,815887.21,830176.87,837355.38,843618.61,872592.78,858585.47,921055.1,954163.29,985944.61,1030985.67,1062897.04,1041676.99,1014702.38,1078670,1099180,1119690
Bulgaria,99978.08,81795.82,76218.38,75610.64,71519.55,72908.91,73249.27,70028.76,65922.19,58817.04,57864.27,60776.88,58130.23,62940.28,62109.5,62714.87,63377.1,67307.94,65996.59,57163.97,59796.37,65071.43,60087.12,54893.92,57987.87,61338.35,58800.91,61148.47,57281.77,55955.28
Canada,601523.69,595776.73,613598.52,616798.39,638000.47,656298.72,678714.49,691195.37,696901.52,709600.92,733511.34,722935.01,726555.18,744831.89,745919.78,738718.6,730101.94,751661.27,735692.85,693597.9,702802.75,714078.51,717172.39,725371.84,722557.67,723096.02,706933.91,716092.01,728475.89,730244.94
Chile,49209.47,47321.2,48984.82,51438.6,54532.77,57903.8,63845.69,71466.73,72442.96,75285.86,73001.38,71105.38,72364.8,73100.83,79173.64,80296.41,82822.36,91553.25,91393.91,88098.22,87942.08,96508.95,102424.84,102678.36,99268.13,106342.22,110156.04,111215.64,112312.62,112500
China ,2161150,2584709,3008268,3431827,4057617,4278945,4702504,5126063,5549622,5973181,6396740,6820299,7243858,7667417,8090976,8015000,8938094,9361653,9785212,10208771,10543331,11055889,11895765,11903007,12300200,12750125,13173684,13597243,14020802,14444361
Colombia,94040.62,97252.6,102161.07,103813.59,105140.36,106659.23,109795.91,114194.85,113892.08,108652.18,110795.2,109488.75,109966.45,113929.09,117271.11,122238.97,130651.1,131880.49,130025.62,137137.33,138247.79,133918.32,139838.47,147802.85,150614.76,149332,141922,143995,146069,148143
Costa Rica,8196.56,8056.64,8797.32,8892.5,9622.28,9693.6,9562.85,9272.53,9811.83,9951.7,9945.75,10292,10518.51,10892.97,10924.16,11196.01,11817.56,12678.7,12709.38,12534.57,12895.96,13284.87,13405.56,13735.74,13850.14,13603.64,14234.46,14477.6,14756,14975
Croatia,31387.29,24692.09,22771.97,22722,21818.72,22487.3,22994.82,24398.92,24509.48,25824.04,25563.46,26739.44,27793.26,29224.14,29263.64,29730.72,30081.35,31485.74,30506.12,28151.12,27752.97,27429.6,25612.64,24330.6,23475.54,23911.92,23999.92,24737.56,23536.28,23605.02
Cyprus,5571.03,6072.44,6521.87,6798.93,7049.13,6985.58,7335.59,7430.33,7764.27,8035.07,8308.59,8257.05,8485.66,8878.86,9078.74,9205.21,9460.79,9789.58,10006.34,9772.66,9444.39,9150.41,8617.65,7918.78,8294.18,8336.77,8783.93,8969.69,8811.43,8841.53
Czech Republic,197071.82,178844.05,172347.24,164722.2,157203.96,156329.52,159347.27,154763.38,148601.6,139029.96,149272.31,149299.9,145657.98,148734.47,149763.24,147727.54,148953.58,150776.59,145889,136853.38,139605.9,138068.89,134138.67,128691.89,126563.24,127972.21,129584.95,130460.08,128554.62,122638.51
Denmark,71097.66,81729.44,75740.17,77874.65,81785.96,78838.28,92007.52,82562.01,78535.83,76048.65,71748.15,73469.76,72887.12,77956.07,71987.69,67601.07,75303.4,70731.52,67137.44,64331.3,64664.11,59429.58,54837.68,56560.81,52332.15,49737.65,51764.36,49648.88,49621.3,45812.18
Estonia,41045.49,37099.98,27159.79,21714.3,22223.27,20273.77,21180.71,20759.07,19021.44,17850.09,17495.87,17933.88,17342.07,19284.11,19482.32,19257.08,18598.88,22206.85,20083.66,16661.56,21218.19,21286.17,20114.88,22019.84,21176.38,18139.32,19808.93,21066.44,20206.36,14699.12
European Union ,5657987.35,5554573.05,5385811.99,5285472.73,5249835.76,5294873.94,5408864.7,5312368.26,5271946.12,5166089.87,5155594.61,5206084.13,5172149.06,5260743.78,5262043.65,5226495.34,5215586.09,5164853.03,5046971.79,4675074.81,4779612.47,4626768.71,4568546.27,4471235.92,4293697.12,4325015.41,4302752.66,4317624.81,4223100.18,4057594.57
Finland,71075.01,68976.83,67537.17,69802.06,75330.9,71663,77655.59,76353.4,72656.18,72039.29,70162.59,75489.95,77917.81,85538.07,81850.13,69851.38,81228.18,79574.36,71465.37,67828.41,75621.63,67876.63,62402.31,62797.27,58659.76,55087.28,58007,55230.18,56281.82,53021.25
France,547127.83,573267.01,562724.82,541994.08,534183.17,540263.49,558535.54,551315.86,564794.56,558542.13,552419.16,557716.37,551773.94,556025.6,554919.88,555961.77,545436.42,535685.05,528370.73,506423.66,513461.78,488902.16,490286.17,491502.99,461188.53,464205.67,467060,470564.32,452034.46,442984.67
Germany,1248576.92,1202060.55,1152179.82,1142845.27,1124864.86,1120555.25,1138786.14,1103880.95,1078775.63,1044927.44,1042612.09,1058745.06,1037234.57,1034137.58,1017525.75,992529.52,999354.67,973768.63,974780.35,908688.45,941805.34,917273.6,923342.03,940419.54,901255.14,904261.81,907967.91,892075.67,855890.41,809798.54
Greece,103289.46,103344.25,104588.35,104188.43,106975.03,109310.88,112456.89,117357.2,122954.8,123112.81,126470.88,127524.66,127540.1,131279.63,131960.69,136423.69,132517.99,135149.01,131825.16,124619.09,118500.04,115571.73,112305.52,102684.38,99257.81,95463.98,91821.84,95600.99,92308.35,85630.94
Hungary,94786.97,88314.62,78141.77,79352.66,78422.09,77193.25,79547.54,78006.79,77397.32,77819.98,74916.73,76856.85,75137.62,78042.77,76960.89,76717.56,75506.65,73725.54,71584.01,65402.83,66056.58,64354.14,60957.51,58068.18,58407.72,61516.67,62258.59,64716.42,64735.4,64433.17
Iceland,3682.9,3466.17,3380.97,3466.1,3398.24,3513.11,3571.74,3739.4,3883.44,4105.32,4126.8,4018.74,4113.32,4073.43,4174.6,4022.91,4606.48,4901.1,5299.94,4966.28,4866.27,4647.06,4657.36,4654.39,4685.66,4763.99,4716.62,4795.42,4822.19,4722.35
India,853051,924155,995259,1066363,1214248,1208571,1279675,1350779,1421883,1492987,1523766.56,1635195,1706299,1777403,1848507,1919611,1990715,2061819,2132923,2204027,2100849.73,22751531,2346235,2417339,2488443,2559547,2839424.95,2701755,2843963,2915067
Indonesia,266818.39,292610.4,306828.59,318657.49,334191.21,363900,387120,410340,433560,503220,554333.48,537949,545911,559139,583101,590736,610242,607947,629710,628562,685711,726262,757250,796579,864948,907334,883224,874740,897960,921180
Iran,320649,337022,353395,369768,385433.3,402514,418887,435260,468006,473513,483669.17,500712,517125,533498,549871,566244,582617,598990,615363,631736,648109,664482,680855,697228,713601,729974,746347,762720,779093,795466
Ireland,54400.32,55210.27,55196.53,55739.95,57215.06,58740.88,60904.77,62361.15,64942.47,66202.87,68458.71,70487.21,68623.05,69032.77,68384.55,70264.34,69620.58,68591.57,68131.46,62356.37,61949.41,57793.58,58785.14,58570.58,58062.57,60431.95,62475.14,62114.86,62526.01,59777.64
Israel,52132,52856,53665,54493,55789,56234,57653,60254,62351,66543,67163,67953,68650,69819.57,70143.55,70737.36,72085.3,75306.52,76683.37,72843.85,75694.83,77842.96,83789.44,78235.48,75994.77,79125.78,78984.71,77903.68,78583.9,79123
Italy,518720.44,519790.53,518700.85,511619.71,505633.37,532004.11,526379.22,534061.59,546488.85,551759.95,555466.3,557199.4,563138.01,582409.71,587933.32,589071.61,578514.65,573010.14,560119.14,505218.99,516473.73,503645.26,484218.02,449178.94,427930.41,440436.7,437696.09,432713.74,428549.35,418280.6
Japan,1269015.3,1283386.64,1295604.15,1291284.87,1352190.75,1373757.63,1386211.81,1378930.08,1330542.77,1353959.95,1373754.87,1348108.69,1372028.55,1378772.44,1370202.43,1377912.87,1356610.44,1391882.93,1319257.64,1247100.64,1300451.71,1351251.66,1394043.99,1405888.61,1356588.54,1318516.7,1301855.89,1288528.72,1245020.89,1209493.35
Kazakhstan,385022.01,369854.7,343664.77,308227.87,261023.63,244275.6,226180.16,218834.89,215135.64,189021.64,219030.46,212958.38,235320.55,257075.16,263901.35,277740.39,295020.6,296551.53,291519.01,279646.42,303286.4,293268.93,296890.24,304663.39,331205.22,341342.71,342616.69,364180.03,375581.98,354869.62
Korea,292190.35,315459.8,343481.57,378674.17,403690.03,433892.37,470463.21,502115.45,431531.81,469518.96,502865.87,516143.48,538627.47,548987.64,557255.12,560923.34,567309.24,580751.92,593853.57,597982.54,656322.62,684929.54,688308.06,697383.69,691932.56,692514.57,693534.82,709749.97,727633.3,732651
Latvia,25868.2,23972.13,19200.11,15782.96,13831.35,12447.95,12502.59,11948.96,11450.55,10674.14,10059.49,10646.48,10617.13,10791.9,10759.86,10934.36,11414.91,11863.26,11416.34,10730.92,11820.12,11029.89,10851.36,10763.41,10671.01,10724.86,10716.53,10757.14,11260.72,11132.14
Liechtenstein,228.51,236.06,236.27,243.4,229.77,233.59,235.9,248.47,259.43,256.43,247.05,246.62,252.95,263.07,263.29,263.69,267.28,238.09,257.85,243.11,228.16,215.33,224.5,230.72,199.7,198.05,187.52,193.03,180.69,187.11
Lithuania,47792.29,49786.07,30616.92,24550.93,23187.14,22201.6,23248.78,22815.56,23781,20968.07,19425.84,20228.95,20608.07,20776.24,21593.77,22700.12,22990.58,25170.92,24192.34,19902.23,20742.36,21338.66,21261.46,20024,19986.69,20283.04,20311.83,20518.88,20150.1,20367.85
Luxembourg,12727.38,13371.04,13134.73,13286.22,12458.13,10084.08,10148.6,9495.63,8614.78,9079.66,9658.18,10151.68,10928.76,11373.29,12765.15,13005.05,12836.67,12253.91,12141.35,11596.4,12176.42,12052.77,11807.44,11270.4,10807.26,10324.43,10082.9,10266.98,10565.23,10742.8
Malta,2595.5,2450.25,2519.74,3106.01,2889.41,2685.61,2809.37,2824.8,2790.41,2877.95,2813.23,2939.15,2990.68,3271,3161.12,2985.1,3040.33,3136.83,3076.79,2892.11,2968.46,2972.04,3181.48,2871.6,2905.19,2220.08,1902.48,2060.88,2041.17,2174.72
Mexico,444741.58,453231.87,455133.32,458498.73,482721.51,471385.13,493529.77,517909.7,543847.61,529229.9,544660.1,537610.98,557652.41,563298.3,574316.76,592587.22,616361.7,646665.3,691822.34,671577.38,669084.03,681190.36,673721.9,683120.59,686159.5,699564.27,725840,736830,747820,758810
Monaco,102.73,103.59,109.23,108.19,108.89,105.53,109.84,107.95,107.16,108.12,109,106.86,107.18,104.49,100.36,98.15,92.66,92.57,93.04,91.08,87.92,85.52,87.53,90.53,84.89,87.7,86.71,85.76,87.13,82.54
Netherlands,219604.1,227263.86,227948.36,228694.79,229571.52,229639.35,240424.69,232386.44,232779.11,219336.65,217577.76,218271.57,216093.44,216742.96,218288.46,212553.1,207510.09,205894.05,205315.85,199722.2,211675.15,197327.07,193081.48,193387.53,185617.27,192712.73,193101.02,190567.47,186318.55,180309.09
New Zealand,65129.23,66005.34,67153.49,66913.44,68135.38,68913.13,70973.41,73669.13,71569.28,73366.38,75397.63,78386.36,78563.49,80733.64,80548.79,82486.17,82518.41,80522.57,80605.45,77881.95,78316.41,78149.24,80446.28,79827.77,80674,80724.44,78678.36,80282,80578.31,82317.88
