Country\year,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,"220,240.77","230,413.76","234,122.38","239,560.14","243,598.69","244,499.37","256,463.93","258,303.62","262,725.06","264,637.84","280,308.99","276,902.60","269,315.64","286,381.63","298,167.36","307,492.67","321,462.03","335,854.13","331,802.17","322,554.23","300,695.19","310,314.53","310,670.24","321,011.89","322,554.61","294,437.00","297,008.00","299,579.00","302,150.00","304,721.00"
Australia,"423,672.23","423,733.06","427,426.08","428,337.07","428,818.22","437,276.55","443,928.27","456,015.98","469,751.52","476,391.99","487,777.76","495,604.31","499,190.49","500,599.96","517,726.51","524,211.49","528,038.42","534,417.84","537,262.31","540,381.62","535,549.22","537,205.50","539,511.06","530,311.91","524,709.40","533,063.83","542,287.87","549,330.02","549,731.94","545,152.52"
Austria,"78,420.49","82,082.33","75,469.27","75,709.19","75,958.30","79,237.98","82,452.59","82,116.23","81,432.85","79,898.37","80,129.43","84,064.72","85,815.06","91,306.72","90,985.23","92,147.29","89,728.78","86,983.94","86,440.21","79,779.07","84,336.72","82,127.03","79,432.38","79,817.17","76,238.67","78,462.23","79,471.01","81,862.50","78,627.64","79,842.25"
Belarus,"139,151.99","130,840.89","120,140.78","106,923.60","89,779.89","83,442.94","84,297.36","85,109.98","86,361.89","80,057.93","79,717.08","79,870.11","78,363.79","80,448.44","84,704.15","86,798.69","90,642.09","90,117.01","92,953.37","88,814.49","90,694.80","90,342.30","91,370.71","92,264.23","91,040.70","85,975.45","87,745.02","88,542.20","89,064.61","90,115.70"
Belgium,"145,719.49","148,439.22","148,039.15","146,897.39","151,497.12","153,616.79","157,323.93","148,852.50","154,021.16","147,789.33","148,882.93","147,324.61","147,412.69","147,713.45","148,554.79","145,561.70","142,720.48","139,071.66","138,980.22","126,325.02","133,633.52","123,134.28","120,385.71","120,443.49","114,732.00","118,959.98","117,689.18","117,424.30","117,894.74","116,651.49"
Brazil,"552,640.82","574,601.49","583,848.35","596,099.40","613,905.50","638,769.90","643,708.82","668,029.60","685,872.35","702,927.57","725,162.14","744,084.15","760,963.10","778,785.71","815,887.21","830,176.87","837,355.38","843,618.61","872,592.78","858,585.47","921,055.10","954,163.29","985,944.61","1,030,985.67","1,062,897.04","1,041,676.99","1,014,702.38","1,078,670.00","1,099,180.00","1,119,690.00"
Bulgaria,"99,978.08","81,795.82","76,218.38","75,610.64","71,519.55","72,908.91","73,249.27","70,028.76","65,922.19","58,817.04","57,864.27","60,776.88","58,130.23","62,940.28","62,109.50","62,714.87","63,377.10","67,307.94","65,996.59","57,163.97","59,796.37","65,071.43","60,087.12","54,893.92","57,987.87","61,338.35","58,800.91","61,148.47","57,281.77","55,955.28"
Canada,"601,523.69","595,776.73","613,598.52","616,798.39","638,000.47","656,298.72","678,714.49","691,195.37","696,901.52","709,600.92","733,511.34","722,935.01","726,555.18","744,831.89","745,919.78","738,718.60","730,101.94","751,661.27","735,692.85","693,597.90","702,802.75","714,078.51","717,172.39","725,371.84","722,557.67","723,096.02","706,933.91","716,092.01","728,475.89","730,244.94"
Chile,"49,209.47","47,321.20","48,984.82","51,438.60","54,532.77","57,903.80","63,845.69","71,466.73","72,442.96","75,285.86","73,001.38","71,105.38","72,364.80","73,100.83","79,173.64","80,296.41","82,822.36","91,553.25","91,393.91","88,098.22","87,942.08","96,508.95","102,424.84","102,678.36","99,268.13","106,342.22","110,156.04","111,215.64","112,312.62","112,500.00"
China (People's Republic of),"2,161,150.00","2,584,709.00","3,008,268.00","3,431,827.00","4,057,617.00","4,278,945.00","4,702,504.00","5,126,063.00","5,549,622.00","5,973,181.00","6,396,740.00","6,820,299.00","7,243,858.00","7,667,417.00","8,090,976.00","8,015,000.00","8,938,094.00","9,361,653.00","9,785,212.00","10,208,771.00","10,543,331.00","11,055,889.00","11,895,765.00","11,903,007.00","12,300,200.00","12,750,125.00","13,173,684.00","13,597,243.00","14,020,802.00","14,444,361.00"
